,People,Female,Median age,Renter households where rent payments are less than or equal to 30% of household income (b),Average number of people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent (b),Average number of motor vehicles per dwelling,Married,Separated,Divorced,Widowed,Never married,Bachelor Degree level and above,Advanced Diploma and Diploma level,Certificate level IV,Certificate level III,Year 12,Year 11,Year 10,Certificate level II,Certificate level I,Year 9 or below,No educational attainment,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,In the labour force,Not in the labour force,Worked full-time,Worked part-time,Unemployed,Personal (b),Family (c),Household (d),SA1 Code,Area sqkm,Region,State,SA4_NAME_2016,Density
0,504.0,55.3%,42,23.0,2.4,"$1,177","$1,365",$335,1.8,41.6,5.6,13.0,8.2,30.9,5.6,8.2,3.3,20.7,9.4,5.6,23.0,0.0,0.0,13.8,1.5,7.5,3.8,1.8,79.4,50.0,42.3,46.4,40.3,3.6,$630,"$1,406","$1,177",10805117106,0.4028,Rest of NSW,New South Wales,Mid North Coast,1251.2413108242304
1,504.0,55.3%,42,23.0,2.4,"$1,177","$1,365",$335,1.8,41.6,5.6,13.0,8.2,30.9,5.6,8.2,3.3,20.7,9.4,5.6,23.0,0.0,0.0,13.8,1.5,7.5,3.8,1.8,79.4,50.0,42.3,46.4,40.3,3.6,$630,"$1,406","$1,177",10805117106,0.4028,Rest of NSW,New South Wales,Mid North Coast,1251.2413108242304
2,515.0,52.5%,47,13.0,2.6,"$1,342","$1,517",$370,2,54.7,2.8,9.2,7.0,27.5,10.1,4.5,4.9,21.6,8.9,3.3,20.9,0.0,0.0,12.7,0.9,5.1,4.5,2.5,85.2,51.4,43.7,59.8,28.8,5.9,$642,"$1,463","$1,342",10805117107,1.936,Rest of NSW,New South Wales,Mid North Coast,266.0123966942149
3,515.0,52.5%,47,13.0,2.6,"$1,342","$1,517",$370,2,54.7,2.8,9.2,7.0,27.5,10.1,4.5,4.9,21.6,8.9,3.3,20.9,0.0,0.0,12.7,0.9,5.1,4.5,2.5,85.2,51.4,43.7,59.8,28.8,5.9,$642,"$1,463","$1,342",10805117107,1.936,Rest of NSW,New South Wales,Mid North Coast,266.0123966942149
4,465.0,51.7%,51,0.0,2.7,"$1,391","$1,863",$320,2.5,52.5,3.0,13.1,5.8,24.7,12.1,10.4,4.8,20.7,10.6,4.8,14.4,0.0,0.0,10.1,0.0,8.4,4.5,5.6,75.5,49.2,46.2,62.6,28.2,2.6,$629,"$1,542","$1,391",10805117108,15.8774,Rest of NSW,New South Wales,Mid North Coast,29.286910955194177
5,465.0,51.7%,51,0.0,2.7,"$1,391","$1,863",$320,2.5,52.5,3.0,13.1,5.8,24.7,12.1,10.4,4.8,20.7,10.6,4.8,14.4,0.0,0.0,10.1,0.0,8.4,4.5,5.6,75.5,49.2,46.2,62.6,28.2,2.6,$629,"$1,542","$1,391",10805117108,15.8774,Rest of NSW,New South Wales,Mid North Coast,29.286910955194177
6,377.0,52.3%,51,9.0,2.7,"$1,444","$1,558",$335,2.6,54.8,3.4,7.5,5.3,30.8,10.6,6.9,4.7,26.2,8.7,5.6,19.3,0.0,0.0,10.0,0.0,11.7,5.4,2.7,73.9,53.9,40.2,59.0,27.2,4.0,$662,"$1,760","$1,444",10805117109,38.3978,Rest of NSW,New South Wales,Mid North Coast,9.818270838433452
7,377.0,52.3%,51,9.0,2.7,"$1,444","$1,558",$335,2.6,54.8,3.4,7.5,5.3,30.8,10.6,6.9,4.7,26.2,8.7,5.6,19.3,0.0,0.0,10.0,0.0,11.7,5.4,2.7,73.9,53.9,40.2,59.0,27.2,4.0,$662,"$1,760","$1,444",10805117109,38.3978,Rest of NSW,New South Wales,Mid North Coast,9.818270838433452
8,264.0,52.2%,47,5.0,2.4,"$1,093","$1,387",$320,2,47.5,7.4,5.5,8.8,31.3,6.9,6.5,4.1,19.4,10.1,4.1,26.3,0.0,0.0,13.4,0.0,8.4,3.4,1.5,80.1,43.8,47.9,48.4,43.2,8.4,$519,"$1,319","$1,093",10805117110,0.2116,Rest of NSW,New South Wales,Mid North Coast,1247.6370510396976
9,264.0,52.2%,47,5.0,2.4,"$1,093","$1,387",$320,2,47.5,7.4,5.5,8.8,31.3,6.9,6.5,4.1,19.4,10.1,4.1,26.3,0.0,0.0,13.4,0.0,8.4,3.4,1.5,80.1,43.8,47.9,48.4,43.2,8.4,$519,"$1,319","$1,093",10805117110,0.2116,Rest of NSW,New South Wales,Mid North Coast,1247.6370510396976
10,366.0,49.7%,47,22.0,2.2,$885,"$1,300",$259,1.7,36.3,3.7,17.3,9.8,33.9,10.5,4.7,4.1,13.9,7.1,4.4,20.0,1.4,0.0,20.0,0.0,6.1,1.9,1.1,81.5,45.4,45.4,42.5,45.5,6.0,$548,"$1,111",$885,10805117111,0.5487,Rest of NSW,New South Wales,Mid North Coast,667.0311645708038
11,366.0,49.7%,47,22.0,2.2,$885,"$1,300",$259,1.7,36.3,3.7,17.3,9.8,33.9,10.5,4.7,4.1,13.9,7.1,4.4,20.0,1.4,0.0,20.0,0.0,6.1,1.9,1.1,81.5,45.4,45.4,42.5,45.5,6.0,$548,"$1,111",$885,10805117111,0.5487,Rest of NSW,New South Wales,Mid North Coast,667.0311645708038
12,160.0,49.4%,56,16.0,2,$912,$934,$293,1.5,29.7,7.4,18.9,14.2,30.4,8.8,6.8,3.4,18.9,10.1,5.4,25.0,0.0,0.0,12.8,0.0,10.8,1.9,5.1,78.3,47.3,47.3,34.3,35.7,18.6,$491,"$1,292",$912,10805117112,0.4107,Rest of NSW,New South Wales,Mid North Coast,389.57876795714634
13,160.0,49.4%,56,16.0,2,$912,$934,$293,1.5,29.7,7.4,18.9,14.2,30.4,8.8,6.8,3.4,18.9,10.1,5.4,25.0,0.0,0.0,12.8,0.0,10.8,1.9,5.1,78.3,47.3,47.3,34.3,35.7,18.6,$491,"$1,292",$912,10805117112,0.4107,Rest of NSW,New South Wales,Mid North Coast,389.57876795714634
14,367.0,48.6%,50,18.0,2.3,"$1,048","$1,343",$300,1.6,43.2,6.0,10.0,5.6,32.9,10.3,11.3,4.3,16.6,9.6,3.3,19.9,0.0,0.0,13.6,0.0,10.0,7.6,4.3,72.4,42.5,48.5,45.3,43.8,7.8,$493,"$1,181","$1,048",10805117113,1.0356,Rest of NSW,New South Wales,Mid North Coast,354.38393202008496
15,367.0,48.6%,50,18.0,2.3,"$1,048","$1,343",$300,1.6,43.2,6.0,10.0,5.6,32.9,10.3,11.3,4.3,16.6,9.6,3.3,19.9,0.0,0.0,13.6,0.0,10.0,7.6,4.3,72.4,42.5,48.5,45.3,43.8,7.8,$493,"$1,181","$1,048",10805117113,1.0356,Rest of NSW,New South Wales,Mid North Coast,354.38393202008496
16,296.0,54.6%,58,15.0,2,$916,"$1,338",$300,1.5,23.5,3.9,18.0,19.6,32.5,5.9,7.1,3.9,11.8,7.8,2.4,15.3,0.0,0.0,13.3,0.0,5.4,4.7,6.0,64.1,34.5,40.0,48.9,35.2,9.1,$523,"$1,271",$916,10805117114,0.583,Rest of NSW,New South Wales,Mid North Coast,507.7186963979417
17,296.0,54.6%,58,15.0,2,$916,"$1,338",$300,1.5,23.5,3.9,18.0,19.6,32.5,5.9,7.1,3.9,11.8,7.8,2.4,15.3,0.0,0.0,13.3,0.0,5.4,4.7,6.0,64.1,34.5,40.0,48.9,35.2,9.1,$523,"$1,271",$916,10805117114,0.583,Rest of NSW,New South Wales,Mid North Coast,507.7186963979417
18,260.0,55.1%,54,15.0,2.1,$992,"$1,127",$280,1.5,30.9,5.5,15.9,11.8,35.5,12.7,6.4,5.5,11.8,9.5,3.2,20.9,0.0,0.0,11.8,0.0,14.7,4.7,3.5,65.5,42.7,46.4,47.9,37.2,11.7,$498,"$1,312",$992,10805117115,0.2475,Rest of NSW,New South Wales,Mid North Coast,1050.5050505050506
19,260.0,55.1%,54,15.0,2.1,$992,"$1,127",$280,1.5,30.9,5.5,15.9,11.8,35.5,12.7,6.4,5.5,11.8,9.5,3.2,20.9,0.0,0.0,11.8,0.0,14.7,4.7,3.5,65.5,42.7,46.4,47.9,37.2,11.7,$498,"$1,312",$992,10805117115,0.2475,Rest of NSW,New South Wales,Mid North Coast,1050.5050505050506
20,416.0,52.2%,42,17.0,2.6,"$1,645","$1,300",$325,2.1,51.8,3.6,8.1,5.1,32.2,19.6,9.0,6.9,20.5,10.8,5.4,14.5,0.0,0.0,4.8,0.0,10.7,4.5,5.2,76.4,62.0,32.5,61.2,32.5,3.9,$783,"$1,821","$1,645",10901117201,0.2322,Rest of NSW,New South Wales,Murray,1791.5590008613265
21,416.0,52.2%,42,17.0,2.6,"$1,645","$1,300",$325,2.1,51.8,3.6,8.1,5.1,32.2,19.6,9.0,6.9,20.5,10.8,5.4,14.5,0.0,0.0,4.8,0.0,10.7,4.5,5.2,76.4,62.0,32.5,61.2,32.5,3.9,$783,"$1,821","$1,645",10901117201,0.2322,Rest of NSW,New South Wales,Murray,1791.5590008613265
22,485.0,51.9%,35,23.0,2.6,"$1,670","$1,300",$340,1.9,42.1,3.1,12.1,3.1,40.8,16.5,6.7,6.7,19.9,16.5,6.2,11.1,0.0,0.0,7.0,0.0,13.0,7.3,3.5,70.5,68.2,27.9,56.8,31.4,4.5,$793,"$1,855","$1,670",10901117202,0.24,Rest of NSW,New South Wales,Murray,2020.8333333333335
23,485.0,51.9%,35,23.0,2.6,"$1,670","$1,300",$340,1.9,42.1,3.1,12.1,3.1,40.8,16.5,6.7,6.7,19.9,16.5,6.2,11.1,0.0,0.0,7.0,0.0,13.0,7.3,3.5,70.5,68.2,27.9,56.8,31.4,4.5,$793,"$1,855","$1,670",10901117202,0.24,Rest of NSW,New South Wales,Murray,2020.8333333333335
24,416.0,49.9%,47,37.0,2.1,"$1,458","$1,300",$200,2,45.6,5.3,13.5,7.6,29.4,22.1,10.9,7.6,11.5,12.1,4.4,16.2,0.0,0.0,7.4,0.0,15.6,4.0,7.5,69.8,57.6,37.4,53.6,41.8,2.0,$793,"$1,902","$1,458",10901117203,0.2239,Rest of NSW,New South Wales,Murray,1857.9723090665477
25,416.0,49.9%,47,37.0,2.1,"$1,458","$1,300",$200,2,45.6,5.3,13.5,7.6,29.4,22.1,10.9,7.6,11.5,12.1,4.4,16.2,0.0,0.0,7.4,0.0,15.6,4.0,7.5,69.8,57.6,37.4,53.6,41.8,2.0,$793,"$1,902","$1,458",10901117203,0.2239,Rest of NSW,New South Wales,Murray,1857.9723090665477
26,400.0,55.2%,30,47.0,2.5,"$1,449","$1,300",$315,1.7,39.6,6.0,8.7,4.7,42.6,14.1,9.1,9.4,17.1,13.8,5.4,12.8,0.0,0.0,9.1,1.7,14.8,7.3,3.5,70.4,71.1,27.2,59.0,32.1,3.8,$820,"$1,591","$1,449",10901117204,0.2338,Rest of NSW,New South Wales,Murray,1710.8639863130882
27,400.0,55.2%,30,47.0,2.5,"$1,449","$1,300",$315,1.7,39.6,6.0,8.7,4.7,42.6,14.1,9.1,9.4,17.1,13.8,5.4,12.8,0.0,0.0,9.1,1.7,14.8,7.3,3.5,70.4,71.1,27.2,59.0,32.1,3.8,$820,"$1,591","$1,449",10901117204,0.2338,Rest of NSW,New South Wales,Murray,1710.8639863130882
28,440.0,52.1%,41,17.0,2.7,"$2,416","$1,742",$400,2,58.8,4.0,9.0,5.4,24.6,30.2,10.2,4.0,11.3,17.8,3.7,11.9,0.0,0.0,5.4,0.0,18.0,4.8,6.1,70.5,66.4,31.6,64.3,28.5,2.1,$996,"$2,658","$2,416",10901117205,0.2994,Rest of NSW,New South Wales,Murray,1469.6058784235138
29,440.0,52.1%,41,17.0,2.7,"$2,416","$1,742",$400,2,58.8,4.0,9.0,5.4,24.6,30.2,10.2,4.0,11.3,17.8,3.7,11.9,0.0,0.0,5.4,0.0,18.0,4.8,6.1,70.5,66.4,31.6,64.3,28.5,2.1,$996,"$2,658","$2,416",10901117205,0.2994,Rest of NSW,New South Wales,Murray,1469.6058784235138
30,402.0,54.0%,35,78.0,2,"$1,430","$1,604",$280,1.8,36.3,3.2,8.8,5.6,45.7,33.6,9.7,5.6,15.9,12.4,5.0,5.3,0.0,0.0,5.3,0.0,14.2,4.8,4.6,74.3,74.3,22.4,60.7,32.5,4.0,"$1,015","$2,038","$1,430",10901117207,0.3045,Rest of NSW,New South Wales,Murray,1320.1970443349753
31,402.0,54.0%,35,78.0,2,"$1,430","$1,604",$280,1.8,36.3,3.2,8.8,5.6,45.7,33.6,9.7,5.6,15.9,12.4,5.0,5.3,0.0,0.0,5.3,0.0,14.2,4.8,4.6,74.3,74.3,22.4,60.7,32.5,4.0,"$1,015","$2,038","$1,430",10901117207,0.3045,Rest of NSW,New South Wales,Murray,1320.1970443349753
32,478.0,48.9%,49,25.0,2.5,"$2,062","$1,750",$360,2,59.2,2.7,9.0,4.2,24.4,31.6,13.2,4.7,12.9,10.9,6.2,10.4,0.0,0.0,5.0,1.0,16.5,6.6,5.0,70.7,68.4,30.8,57.8,36.0,1.8,"$1,025","$2,440","$2,062",10901117208,0.2541,Rest of NSW,New South Wales,Murray,1881.1491538764267
33,478.0,48.9%,49,25.0,2.5,"$2,062","$1,750",$360,2,59.2,2.7,9.0,4.2,24.4,31.6,13.2,4.7,12.9,10.9,6.2,10.4,0.0,0.0,5.0,1.0,16.5,6.6,5.0,70.7,68.4,30.8,57.8,36.0,1.8,"$1,025","$2,440","$2,062",10901117208,0.2541,Rest of NSW,New South Wales,Murray,1881.1491538764267
34,363.0,54.5%,31,23.0,2.6,"$1,550","$1,179",$320,1.9,42.8,5.2,9.2,3.7,39.9,17.7,8.9,5.2,17.7,12.2,7.4,13.3,0.0,0.0,8.5,0.0,9.6,5.8,3.3,74.8,74.5,19.2,52.5,33.7,4.0,$861,"$1,841","$1,550",10901117209,0.1996,Rest of NSW,New South Wales,Murray,1818.6372745490983
35,363.0,54.5%,31,23.0,2.6,"$1,550","$1,179",$320,1.9,42.8,5.2,9.2,3.7,39.9,17.7,8.9,5.2,17.7,12.2,7.4,13.3,0.0,0.0,8.5,0.0,9.6,5.8,3.3,74.8,74.5,19.2,52.5,33.7,4.0,$861,"$1,841","$1,550",10901117209,0.1996,Rest of NSW,New South Wales,Murray,1818.6372745490983
36,409.0,49.0%,36,26.0,2.6,"$1,440","$1,300",$300,2.1,46.1,6.2,7.1,1.5,39.9,12.1,3.4,5.0,26.9,15.8,6.5,13.0,0.0,0.0,9.0,0.0,8.4,4.9,3.7,80.5,63.2,32.5,56.9,34.3,5.9,$737,"$1,649","$1,440",10901117210,0.2359,Rest of NSW,New South Wales,Murray,1733.7855023314964
37,409.0,49.0%,36,26.0,2.6,"$1,440","$1,300",$300,2.1,46.1,6.2,7.1,1.5,39.9,12.1,3.4,5.0,26.9,15.8,6.5,13.0,0.0,0.0,9.0,0.0,8.4,4.9,3.7,80.5,63.2,32.5,56.9,34.3,5.9,$737,"$1,649","$1,440",10901117210,0.2359,Rest of NSW,New South Wales,Murray,1733.7855023314964
38,366.0,49.7%,39,19.0,2.7,"$1,694","$1,614",$325,2.1,47.8,1.7,9.1,4.0,37.0,17.2,11.1,6.4,13.8,12.1,5.4,14.5,0.0,0.0,6.4,1.0,15.0,6.7,4.3,69.2,62.6,31.3,50.5,41.4,5.9,$709,"$1,968","$1,694",10901117211,0.3568,Rest of NSW,New South Wales,Murray,1025.7847533632287
39,366.0,49.7%,39,19.0,2.7,"$1,694","$1,614",$325,2.1,47.8,1.7,9.1,4.0,37.0,17.2,11.1,6.4,13.8,12.1,5.4,14.5,0.0,0.0,6.4,1.0,15.0,6.7,4.3,69.2,62.6,31.3,50.5,41.4,5.9,$709,"$1,968","$1,694",10901117211,0.3568,Rest of NSW,New South Wales,Murray,1025.7847533632287
40,322.0,50.0%,35,18.0,2.4,"$2,125","$1,465",$350,1.9,51.0,1.6,5.2,4.8,37.1,37.8,8.0,6.4,14.7,8.8,5.2,6.8,0.0,0.0,7.2,0.0,9.4,4.1,2.5,81.6,75.3,21.9,59.8,31.2,4.8,"$1,162","$2,440","$2,125",10901117213,0.1757,Rest of NSW,New South Wales,Murray,1832.6693227091635
41,322.0,50.0%,35,18.0,2.4,"$2,125","$1,465",$350,1.9,51.0,1.6,5.2,4.8,37.1,37.8,8.0,6.4,14.7,8.8,5.2,6.8,0.0,0.0,7.2,0.0,9.4,4.1,2.5,81.6,75.3,21.9,59.8,31.2,4.8,"$1,162","$2,440","$2,125",10901117213,0.1757,Rest of NSW,New South Wales,Murray,1832.6693227091635
42,565.0,53.5%,40,47.0,2.3,"$1,767","$1,733",$308,1.7,47.7,3.1,9.2,6.1,34.4,30.4,9.6,5.5,12.3,13.6,3.7,10.1,0.0,0.0,5.3,0.0,12.3,4.3,3.9,73.8,63.0,30.9,57.3,35.8,3.8,$974,"$2,380","$1,767",10901117214,0.5375,Rest of NSW,New South Wales,Murray,1051.1627906976744
43,565.0,53.5%,40,47.0,2.3,"$1,767","$1,733",$308,1.7,47.7,3.1,9.2,6.1,34.4,30.4,9.6,5.5,12.3,13.6,3.7,10.1,0.0,0.0,5.3,0.0,12.3,4.3,3.9,73.8,63.0,30.9,57.3,35.8,3.8,$974,"$2,380","$1,767",10901117214,0.5375,Rest of NSW,New South Wales,Murray,1051.1627906976744
44,273.0,51.6%,39,36.0,2.2,"$1,875","$1,517",$323,2.2,31.0,4.1,14.0,2.9,48.8,27.7,8.3,6.2,13.2,13.2,5.8,12.0,0.0,0.0,8.7,0.0,11.9,5.2,3.0,78.9,71.9,22.7,68.4,24.1,3.4,$966,"$2,116","$1,875",10901117215,0.1565,Rest of NSW,New South Wales,Murray,1744.408945686901
45,273.0,51.6%,39,36.0,2.2,"$1,875","$1,517",$323,2.2,31.0,4.1,14.0,2.9,48.8,27.7,8.3,6.2,13.2,13.2,5.8,12.0,0.0,0.0,8.7,0.0,11.9,5.2,3.0,78.9,71.9,22.7,68.4,24.1,3.4,$966,"$2,116","$1,875",10901117215,0.1565,Rest of NSW,New South Wales,Murray,1744.408945686901
46,295.0,53.5%,41,40.0,2.1,"$1,642","$1,500",$275,1.6,39.8,5.9,11.0,2.0,40.6,26.0,13.0,5.9,13.0,15.0,3.9,10.6,0.0,0.0,4.3,0.0,10.1,5.0,2.7,76.8,72.0,23.6,57.4,30.1,5.5,$976,"$2,288","$1,642",10901117216,0.1525,Rest of NSW,New South Wales,Murray,1934.4262295081967
47,295.0,53.5%,41,40.0,2.1,"$1,642","$1,500",$275,1.6,39.8,5.9,11.0,2.0,40.6,26.0,13.0,5.9,13.0,15.0,3.9,10.6,0.0,0.0,4.3,0.0,10.1,5.0,2.7,76.8,72.0,23.6,57.4,30.1,5.5,$976,"$2,288","$1,642",10901117216,0.1525,Rest of NSW,New South Wales,Murray,1934.4262295081967
48,573.0,52.1%,39,22.0,2.5,"$1,875","$1,733",$310,2,53.9,1.3,8.2,4.3,31.3,27.3,10.7,3.2,15.9,12.7,6.7,9.7,0.0,0.0,6.2,0.0,13.1,6.1,4.9,73.7,74.2,24.5,55.2,36.7,3.5,$989,"$2,299","$1,875",10901117217,0.3839,Rest of NSW,New South Wales,Murray,1492.5761917165928
49,573.0,52.1%,39,22.0,2.5,"$1,875","$1,733",$310,2,53.9,1.3,8.2,4.3,31.3,27.3,10.7,3.2,15.9,12.7,6.7,9.7,0.0,0.0,6.2,0.0,13.1,6.1,4.9,73.7,74.2,24.5,55.2,36.7,3.5,$989,"$2,299","$1,875",10901117217,0.3839,Rest of NSW,New South Wales,Murray,1492.5761917165928
50,264.0,51.9%,39,20.0,2.4,"$1,521","$1,500",$330,1.9,38.9,2.7,10.4,4.1,45.2,22.6,7.7,5.4,18.6,14.0,5.4,11.8,0.0,0.0,9.0,0.0,10.6,7.6,7.2,72.0,71.0,28.1,55.4,37.6,3.8,$751,"$1,937","$1,521",10901117218,0.4581,Rest of NSW,New South Wales,Murray,576.2933857236411
51,264.0,51.9%,39,20.0,2.4,"$1,521","$1,500",$330,1.9,38.9,2.7,10.4,4.1,45.2,22.6,7.7,5.4,18.6,14.0,5.4,11.8,0.0,0.0,9.0,0.0,10.6,7.6,7.2,72.0,71.0,28.1,55.4,37.6,3.8,$751,"$1,937","$1,521",10901117218,0.4581,Rest of NSW,New South Wales,Murray,576.2933857236411
52,370.0,60.5%,77,14.0,1.5,$720,"$1,452",$330,1,43.8,3.3,10.4,30.5,15.1,15.1,8.0,1.8,9.8,10.1,5.9,14.2,0.0,0.0,17.2,0.0,15.3,6.6,2.1,68.8,20.7,73.1,52.9,42.9,4.3,$501,"$1,140",$720,10901117219,0.1606,Rest of NSW,New South Wales,Murray,2303.860523038605
53,370.0,60.5%,77,14.0,1.5,$720,"$1,452",$330,1,43.8,3.3,10.4,30.5,15.1,15.1,8.0,1.8,9.8,10.1,5.9,14.2,0.0,0.0,17.2,0.0,15.3,6.6,2.1,68.8,20.7,73.1,52.9,42.9,4.3,$501,"$1,140",$720,10901117219,0.1606,Rest of NSW,New South Wales,Murray,2303.860523038605
54,631.0,50.6%,37,49.0,2.6,"$1,733","$1,614",$370,1.9,47.6,3.5,8.9,5.4,33.9,26.6,11.2,4.6,13.7,10.6,7.1,9.8,0.0,0.0,8.3,0.0,14.7,6.2,2.7,73.9,70.5,27.9,59.3,35.1,2.1,$838,"$2,250","$1,733",10901117220,0.3407,Rest of NSW,New South Wales,Murray,1852.0692691517463
55,631.0,50.6%,37,49.0,2.6,"$1,733","$1,614",$370,1.9,47.6,3.5,8.9,5.4,33.9,26.6,11.2,4.6,13.7,10.6,7.1,9.8,0.0,0.0,8.3,0.0,14.7,6.2,2.7,73.9,70.5,27.9,59.3,35.1,2.1,$838,"$2,250","$1,733",10901117220,0.3407,Rest of NSW,New South Wales,Murray,1852.0692691517463
56,459.0,53.6%,41,35.0,2.3,"$1,906","$1,733",$288,1.7,42.1,3.5,8.4,13.9,32.6,30.2,12.5,3.3,15.8,10.1,1.9,8.7,0.0,0.0,8.7,0.0,11.3,7.1,2.9,77.2,63.3,34.5,58.8,34.3,2.1,$863,"$2,816","$1,906",10901117222,0.2082,Rest of NSW,New South Wales,Murray,2204.6109510086458
57,459.0,53.6%,41,35.0,2.3,"$1,906","$1,733",$288,1.7,42.1,3.5,8.4,13.9,32.6,30.2,12.5,3.3,15.8,10.1,1.9,8.7,0.0,0.0,8.7,0.0,11.3,7.1,2.9,77.2,63.3,34.5,58.8,34.3,2.1,$863,"$2,816","$1,906",10901117222,0.2082,Rest of NSW,New South Wales,Murray,2204.6109510086458
58,443.0,51.4%,36,85.0,1.9,$770,"$1,083",$200,1.1,21.7,5.8,15.0,6.7,54.2,6.9,7.5,3.9,12.5,9.7,8.1,17.2,0.0,0.0,16.4,1.1,12.2,6.1,4.1,63.6,45.8,41.9,43.6,38.2,12.7,$538,"$1,037",$770,10901117224,0.3158,Rest of NSW,New South Wales,Murray,1402.7865737808738
59,443.0,51.4%,36,85.0,1.9,$770,"$1,083",$200,1.1,21.7,5.8,15.0,6.7,54.2,6.9,7.5,3.9,12.5,9.7,8.1,17.2,0.0,0.0,16.4,1.1,12.2,6.1,4.1,63.6,45.8,41.9,43.6,38.2,12.7,$538,"$1,037",$770,10901117224,0.3158,Rest of NSW,New South Wales,Murray,1402.7865737808738
60,157.0,52.8%,39,33.0,1.8,"$1,312","$1,517",$275,1.6,24.1,5.8,15.3,2.2,50.4,18.2,12.4,8.8,13.1,15.3,2.2,13.9,0.0,0.0,10.2,0.0,17.7,3.2,5.7,71.5,64.2,29.2,67.0,21.6,3.4,$807,"$1,708","$1,312",10901117225,0.4969,Rest of NSW,New South Wales,Murray,315.95894546186355
61,157.0,52.8%,39,33.0,1.8,"$1,312","$1,517",$275,1.6,24.1,5.8,15.3,2.2,50.4,18.2,12.4,8.8,13.1,15.3,2.2,13.9,0.0,0.0,10.2,0.0,17.7,3.2,5.7,71.5,64.2,29.2,67.0,21.6,3.4,$807,"$1,708","$1,312",10901117225,0.4969,Rest of NSW,New South Wales,Murray,315.95894546186355
62,164.0,45.0%,51,0.0,2.8,"$3,250","$1,200",$0,2.5,62.0,0.0,5.6,2.1,24.6,40.8,9.2,2.1,9.2,8.5,7.7,2.1,0.0,0.0,3.5,0.0,13.7,5.6,11.2,66.5,69.0,27.5,56.1,32.7,6.1,"$1,104","$3,349","$3,250",10901117226,4.0821,Rest of NSW,New South Wales,Murray,40.17539991670954
63,164.0,45.0%,51,0.0,2.8,"$3,250","$1,200",$0,2.5,62.0,0.0,5.6,2.1,24.6,40.8,9.2,2.1,9.2,8.5,7.7,2.1,0.0,0.0,3.5,0.0,13.7,5.6,11.2,66.5,69.0,27.5,56.1,32.7,6.1,"$1,104","$3,349","$3,250",10901117226,4.0821,Rest of NSW,New South Wales,Murray,40.17539991670954
64,584.0,45.8%,36,80.0,2,"$1,229","$1,083",$225,1.7,40.3,2.8,9.4,4.8,42.3,17.2,11.0,3.0,15.8,14.2,5.4,11.6,0.0,0.0,9.2,0.0,24.5,3.9,3.3,59.9,65.3,27.5,57.1,30.7,5.8,$776,"$1,767","$1,229",10901117229,7.7033,Rest of NSW,New South Wales,Murray,75.81166513052848
65,584.0,45.8%,36,80.0,2,"$1,229","$1,083",$225,1.7,40.3,2.8,9.4,4.8,42.3,17.2,11.0,3.0,15.8,14.2,5.4,11.6,0.0,0.0,9.2,0.0,24.5,3.9,3.3,59.9,65.3,27.5,57.1,30.7,5.8,$776,"$1,767","$1,229",10901117229,7.7033,Rest of NSW,New South Wales,Murray,75.81166513052848
66,584.0,45.8%,36,80.0,2,"$1,229","$1,083",$225,1.7,40.3,2.8,9.4,4.8,42.3,17.2,11.0,3.0,15.8,14.2,5.4,11.6,0.0,0.0,9.2,0.0,24.5,3.9,3.3,59.9,65.3,27.5,57.1,30.7,5.8,$776,"$1,767","$1,229",10901117230,2.7136,Rest of NSW,New South Wales,Murray,215.21226415094338
67,584.0,45.8%,36,80.0,2,"$1,229","$1,083",$225,1.7,40.3,2.8,9.4,4.8,42.3,17.2,11.0,3.0,15.8,14.2,5.4,11.6,0.0,0.0,9.2,0.0,24.5,3.9,3.3,59.9,65.3,27.5,57.1,30.7,5.8,$776,"$1,767","$1,229",10901117230,2.7136,Rest of NSW,New South Wales,Murray,215.21226415094338
68,140.0,52.5%,34,16.0,3,"$1,875","$1,300",$360,2,57.4,4.0,10.9,0.0,30.7,20.8,5.0,9.9,26.7,8.9,3.0,6.9,0.0,0.0,5.0,4.0,7.9,2.1,5.7,81.4,76.2,23.8,63.6,32.5,0.0,$859,"$2,062","$1,875",10901117231,0.047,Rest of NSW,New South Wales,Murray,2978.723404255319
69,140.0,52.5%,34,16.0,3,"$1,875","$1,300",$360,2,57.4,4.0,10.9,0.0,30.7,20.8,5.0,9.9,26.7,8.9,3.0,6.9,0.0,0.0,5.0,4.0,7.9,2.1,5.7,81.4,76.2,23.8,63.6,32.5,0.0,$859,"$2,062","$1,875",10901117231,0.047,Rest of NSW,New South Wales,Murray,2978.723404255319
70,293.0,52.2%,37,10.0,3.1,"$2,299","$1,719",$403,2.5,65.6,3.2,3.7,1.8,27.1,23.9,9.2,6.4,17.0,16.5,7.8,5.0,0.0,0.0,6.0,0.0,13.9,8.1,5.4,71.6,74.8,23.9,55.2,36.2,4.3,$984,"$2,405","$2,299",10901117234,0.1561,Rest of NSW,New South Wales,Murray,1877.0019218449713
71,293.0,52.2%,37,10.0,3.1,"$2,299","$1,719",$403,2.5,65.6,3.2,3.7,1.8,27.1,23.9,9.2,6.4,17.0,16.5,7.8,5.0,0.0,0.0,6.0,0.0,13.9,8.1,5.4,71.6,74.8,23.9,55.2,36.2,4.3,$984,"$2,405","$2,299",10901117234,0.1561,Rest of NSW,New South Wales,Murray,1877.0019218449713
